"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.126.132","192.168.126.2","DNS","100","Standard query 0x1107 A clientservices.googleapis.com OPT"
"2","0.000174416","192.168.126.132","192.168.126.2","DNS","100","Standard query 0x2534 HTTPS clientservices.googleapis.com OPT"
"3","0.024676589","192.168.126.2","192.168.126.132","DNS","116","Standard query response 0x1107 A clientservices.googleapis.com A 142.250.75.99 OPT"
"4","0.024676862","192.168.126.2","192.168.126.132","DNS","160","Standard query response 0x2534 HTTPS clientservices.googleapis.com SOA ns1.google.com OPT"
"5","0.025996280","192.168.126.132","142.250.75.99","TCP","74","47322  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1346385583 TSecr=0 WS=128"
"6","0.046656775","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"7","0.046700743","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.047884800","192.168.126.132","142.250.75.99","TLSv1.3","1793","Client Hello (SNI=clientservices.googleapis.com)"
"9","0.048370009","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"10","0.048370169","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=1 Ack=1740 Win=64240 Len=0"
"11","0.132016881","142.250.75.99","192.168.126.132","TLSv1.3","5813","Server Hello, Change Cipher Spec, Application Data"
"12","0.132105188","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [ACK] Seq=1740 Ack=5760 Win=65535 Len=0"
"13","0.161851733","192.168.126.132","142.250.75.99","TLSv1.3","128","Change Cipher Spec, Application Data"
"14","0.162515600","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=5760 Ack=1814 Win=64240 Len=0"
"15","0.162572610","192.168.126.132","142.250.75.99","TLSv1.3","146","Application Data"
"16","0.162884505","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=5760 Ack=1906 Win=64240 Len=0"
"17","0.163102119","192.168.126.132","142.250.75.99","TLSv1.3","415","Application Data"
"18","0.163363588","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=5760 Ack=2267 Win=64240 Len=0"
"19","0.178573333","142.250.75.99","192.168.126.132","TLSv1.3","1042","Application Data, Application Data"
"20","0.183034853","192.168.126.132","142.250.75.99","TLSv1.3","85","Application Data"
"21","0.183413046","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=6748 Ack=2298 Win=64240 Len=0"
"22","0.191957720","142.250.75.99","192.168.126.132","TLSv1.3","85","Application Data"
"23","0.233650232","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [ACK] Seq=2298 Ack=6779 Win=65535 Len=0"
"24","0.468710597","192.168.126.132","192.168.126.2","DNS","90","Standard query 0xbf00 A accounts.google.com OPT"
"25","0.468951956","192.168.126.132","192.168.126.2","DNS","90","Standard query 0x9ba9 HTTPS accounts.google.com OPT"
"26","0.469057644","192.168.126.132","192.168.126.2","DNS","85","Standard query 0x4b7f A www.google.com OPT"
"27","0.469149436","192.168.126.132","192.168.126.2","DNS","85","Standard query 0xba6f HTTPS www.google.com OPT"
"28","0.477885486","142.250.75.99","192.168.126.132","TLSv1.3","557","Application Data, Application Data, Application Data"
"29","0.477949623","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [ACK] Seq=2298 Ack=7282 Win=65535 Len=0"
"30","0.481169897","192.168.126.132","142.250.75.99","TLSv1.3","93","Application Data"
"31","0.481524100","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=7282 Ack=2337 Win=64240 Len=0"
"32","0.482066318","192.168.126.2","192.168.126.132","DNS","101","Standard query response 0x4b7f A www.google.com A 142.250.75.100 OPT"
"33","0.482066374","192.168.126.2","192.168.126.132","DNS","106","Standard query response 0xbf00 A accounts.google.com A 142.251.168.84 OPT"
"34","0.482066411","192.168.126.2","192.168.126.132","DNS","110","Standard query response 0xba6f HTTPS www.google.com HTTPS OPT"
"35","0.482066435","192.168.126.2","192.168.126.132","DNS","140","Standard query response 0x9ba9 HTTPS accounts.google.com SOA ns1.google.com OPT"
"36","0.484560800","192.168.126.132","142.250.75.100","QUIC","1292","Initial, DCID=74c4901e9139cc82, PKN: 1, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING"
"37","0.485383412","192.168.126.132","142.250.75.100","QUIC","1292","Initial, DCID=74c4901e9139cc82, PKN: 2, PADDING, PING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO"
"38","0.486409787","192.168.126.132","142.251.168.84","QUIC","1292","Initial, DCID=7738d756f7dae8ae, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING"
"39","0.486491240","192.168.126.132","142.251.168.84","QUIC","1292","Initial, DCID=7738d756f7dae8ae, PKN: 2, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, PING, PING, PING, PING, CRYPTO, PING, PING, PADDING, PING, PING, CRYPTO"
"40","0.495070337","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [FIN, ACK] Seq=2337 Ack=7282 Win=65535 Len=0"
"41","0.495491001","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [ACK] Seq=7282 Ack=2338 Win=64239 Len=0"
"42","0.501388882","142.250.75.100","192.168.126.132","QUIC","82","Initial, SCID=f4c4901e9139cc82, PKN: 1, ACK"
"43","0.501389157","142.250.75.100","192.168.126.132","QUIC","1292","Initial, SCID=f4c4901e9139cc82, PKN: 2, ACK, PADDING"
"44","0.501389182","142.250.75.100","192.168.126.132","QUIC","1292","Initial, SCID=f4c4901e9139cc82, PKN: 3, CRYPTO, PADDING"
"45","0.501389207","142.250.75.100","192.168.126.132","QUIC","1292","Initial, SCID=f4c4901e9139cc82, PKN: 4, CRYPTO, PADDING"
"46","0.502673868","192.168.126.132","142.250.75.100","QUIC","1292","Initial, DCID=f4c4901e9139cc82, PKN: 3, ACK, PADDING"
"47","0.510846128","142.250.75.99","192.168.126.132","TCP","60","443  >  47322 [FIN, PSH, ACK] Seq=7282 Ack=2338 Win=64239 Len=0"
"48","0.510876544","192.168.126.132","142.250.75.99","TCP","54","47322  >  443 [ACK] Seq=2338 Ack=7283 Win=14764 Len=0"
"49","0.512083221","192.168.126.132","142.250.75.100","TCP","74","36072  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3790364203 TSecr=0 WS=128"
"50","0.512225553","192.168.126.132","142.250.75.100","TCP","74","36088  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3790364203 TSecr=0 WS=128"
"51","0.512310721","192.168.126.132","142.250.75.100","TCP","74","36092  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3790364203 TSecr=0 WS=128"
"52","0.512430276","192.168.126.132","142.250.75.100","TCP","74","36104  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3790364203 TSecr=0 WS=128"
"53","0.519769716","192.168.126.132","142.250.75.100","QUIC","79","Handshake, DCID=f4c4901e9139cc82"
"54","0.532109168","142.250.75.100","192.168.126.132","TCP","60","443  >  36092 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"55","0.532109553","142.250.75.100","192.168.126.132","TCP","60","443  >  36072 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"56","0.532109597","142.250.75.100","192.168.126.132","TCP","60","443  >  36104 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"57","0.532109621","142.250.75.100","192.168.126.132","TCP","60","443  >  36088 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"58","0.532145047","192.168.126.132","142.250.75.100","TCP","54","36092  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"59","0.532182636","192.168.126.132","142.250.75.100","TCP","54","36072  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"60","0.532195898","192.168.126.132","142.250.75.100","TCP","54","36104  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"61","0.532226361","192.168.126.132","142.250.75.100","TCP","54","36088  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"62","0.532567465","192.168.126.132","142.250.75.100","TLSv1.3","1874","Client Hello (SNI=www.google.com)"
"63","0.532977420","142.250.75.100","192.168.126.132","TCP","60","443  >  36092 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"64","0.532977559","142.250.75.100","192.168.126.132","TCP","60","443  >  36092 [ACK] Seq=1 Ack=1821 Win=64240 Len=0"
"65","0.533200402","192.168.126.132","142.250.75.100","TLSv1.3","1778","Client Hello (SNI=www.google.com)"
"66","0.533451564","142.250.75.100","192.168.126.132","TCP","60","443  >  36072 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"67","0.533493208","142.250.75.100","192.168.126.132","TCP","60","443  >  36072 [ACK] Seq=1 Ack=1725 Win=64240 Len=0"
"68","0.534211835","192.168.126.132","142.250.75.100","TLSv1.3","1874","Client Hello (SNI=www.google.com)"
"69","0.534687540","142.250.75.100","192.168.126.132","TCP","60","443  >  36104 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"70","0.534687943","142.250.75.100","192.168.126.132","TCP","60","443  >  36104 [ACK] Seq=1 Ack=1821 Win=64240 Len=0"
"71","0.535156861","192.168.126.132","142.250.75.100","TLSv1.3","1810","Client Hello (SNI=www.google.com)"
"72","0.536173702","142.250.75.100","192.168.126.132","TCP","60","443  >  36088 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"73","0.536174011","142.250.75.100","192.168.126.132","TCP","60","443  >  36088 [ACK] Seq=1 Ack=1757 Win=64240 Len=0"
"74","0.550803204","192.168.126.132","142.250.75.100","QUIC","79","Handshake, DCID=f4c4901e9139cc82"
"75","0.552347803","142.250.75.100","192.168.126.132","QUIC","1292","Handshake, SCID=f4c4901e9139cc82"
"76","0.552348087","142.250.75.100","192.168.126.132","QUIC","1292","Handshake, SCID=f4c4901e9139cc82"
"77","0.552868533","192.168.126.132","142.250.75.100","QUIC","81","Handshake, DCID=f4c4901e9139cc82"
"78","0.555664294","142.250.75.100","192.168.126.132","QUIC","1292","Handshake, SCID=f4c4901e9139cc82"
"79","0.555664989","142.250.75.100","192.168.126.132","QUIC","995","Protected Payload (KP0)"
"80","0.555665011","142.250.75.100","192.168.126.132","QUIC","83","Handshake, SCID=f4c4901e9139cc82"
"81","0.555665033","142.251.168.84","192.168.126.132","QUIC","82","Initial, SCID=f738d756f7dae8ae, PKN: 1, ACK"
"82","0.555665056","142.251.168.84","192.168.126.132","QUIC","1292","Initial, SCID=f738d756f7dae8ae, PKN: 2, ACK, PADDING"
"83","0.555665077","142.251.168.84","192.168.126.132","QUIC","1292","Initial, SCID=f738d756f7dae8ae, PKN: 3, CRYPTO, PADDING"
"84","0.555665099","142.251.168.84","192.168.126.132","QUIC","1292","Initial, SCID=f738d756f7dae8ae, PKN: 4, CRYPTO, PADDING"
"85","0.555665120","142.251.168.84","192.168.126.132","QUIC","1292","Handshake, SCID=f738d756f7dae8ae"
"86","0.556603689","192.168.126.132","142.250.75.100","QUIC","81","Handshake, DCID=f4c4901e9139cc82"
"87","0.557040442","192.168.126.132","142.251.168.84","QUIC","1292","Initial, DCID=f738d756f7dae8ae, PKN: 3, ACK, PADDING"
"88","0.557320202","142.251.168.84","192.168.126.132","QUIC","1292","Handshake, SCID=f738d756f7dae8ae"
"89","0.557320251","142.251.168.84","192.168.126.132","QUIC","1292","Handshake, SCID=f738d756f7dae8ae"
"90","0.557417240","192.168.126.132","142.251.168.84","QUIC","81","Handshake, DCID=f738d756f7dae8ae"
"91","0.558659703","192.168.126.132","142.251.168.84","QUIC","82","Handshake, DCID=f738d756f7dae8ae"
"92","0.559155993","192.168.126.132","142.250.75.100","QUIC","125","Handshake, DCID=f4c4901e9139cc82"
"93","0.559308649","192.168.126.132","142.250.75.100","QUIC","113","Protected Payload (KP0), DCID=f4c4901e9139cc82"
"94","0.559761385","192.168.126.132","142.250.75.100","QUIC","766","Protected Payload (KP0), DCID=f4c4901e9139cc82"
"95","0.559901642","192.168.126.132","142.250.75.100","QUIC","153","Protected Payload (KP0), DCID=f4c4901e9139cc82"
