"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.126.132","192.168.126.2","DNS","100","Standard query 0x69b5 A clientservices.googleapis.com OPT"
"2","0.000319109","192.168.126.132","192.168.126.2","DNS","100","Standard query 0xf1fa HTTPS clientservices.googleapis.com OPT"
"3","0.013281980","192.168.126.2","192.168.126.132","DNS","160","Standard query response 0xf1fa HTTPS clientservices.googleapis.com SOA ns1.google.com OPT"
"4","0.013282235","192.168.126.2","192.168.126.132","DNS","116","Standard query response 0x69b5 A clientservices.googleapis.com A 142.250.75.67 OPT"
"5","0.018426230","192.168.126.132","142.250.75.67","TCP","74","34256  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1045438447 TSecr=0 WS=128"
"6","0.034779485","142.250.75.67","192.168.126.132","TCP","60","443  >  34256 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"7","0.034820784","192.168.126.132","142.250.75.67","TCP","54","34256  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.035974365","192.168.126.132","142.250.75.67","TLSv1.3","1857","Client Hello (SNI=clientservices.googleapis.com)"
"9","0.036452120","142.250.75.67","192.168.126.132","TCP","60","443  >  34256 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"10","0.036512185","142.250.75.67","192.168.126.132","TCP","60","443  >  34256 [ACK] Seq=1 Ack=1804 Win=64240 Len=0"
"11","0.038755480","192.168.126.132","142.250.75.67","TCP","54","34256  >  443 [FIN, ACK] Seq=1804 Ack=1 Win=64240 Len=0"
"12","0.038922025","192.168.126.132","142.250.75.67","TCP","74","34260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1045438468 TSecr=0 WS=128"
"13","0.039474999","142.250.75.67","192.168.126.132","TCP","60","443  >  34256 [ACK] Seq=1 Ack=1805 Win=64239 Len=0"
"14","0.066779325","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"15","0.066813258","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"16","0.067977048","192.168.126.132","142.250.75.67","TLSv1.3","1793","Client Hello (SNI=clientservices.googleapis.com)"
"17","0.068431723","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"18","0.068431794","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=1 Ack=1740 Win=64240 Len=0"
"19","0.116354931","142.250.75.67","192.168.126.132","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"20","0.116379748","192.168.126.132","142.250.75.67","TCP","54","34256  >  443 [RST] Seq=1805 Win=0 Len=0"
"21","0.152418767","142.250.75.67","192.168.126.132","TLSv1.3","5813","Server Hello, Change Cipher Spec, Application Data"
"22","0.152446371","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=1740 Ack=5760 Win=65535 Len=0"
"23","0.193593996","192.168.126.132","142.250.75.67","TLSv1.3","128","Change Cipher Spec, Application Data"
"24","0.194004979","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=5760 Ack=1814 Win=64240 Len=0"
"25","0.194269424","192.168.126.132","142.250.75.67","TLSv1.3","146","Application Data"
"26","0.194444279","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=5760 Ack=1906 Win=64240 Len=0"
"27","0.197940654","192.168.126.132","142.250.75.67","TLSv1.3","415","Application Data"
"28","0.198275956","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=5760 Ack=2267 Win=64240 Len=0"
"29","0.208935555","142.250.75.67","192.168.126.132","TLSv1.3","1042","Application Data, Application Data"
"30","0.208971191","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=2267 Ack=6748 Win=65535 Len=0"
"31","0.214921884","192.168.126.132","142.250.75.67","TLSv1.3","85","Application Data"
"32","0.215450604","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=6748 Ack=2298 Win=64240 Len=0"
"33","0.220208991","142.250.75.67","192.168.126.132","TLSv1.3","85","Application Data"
"34","0.260714384","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=2298 Ack=6779 Win=65535 Len=0"
"35","0.342614433","142.250.75.67","192.168.126.132","TLSv1.3","487","Application Data"
"36","0.342639667","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=2298 Ack=7212 Win=65535 Len=0"
"37","0.344660350","142.250.75.67","192.168.126.132","TLSv1.3","124","Application Data, Application Data"
"38","0.344680222","192.168.126.132","142.250.75.67","TCP","54","34260  >  443 [ACK] Seq=2298 Ack=7282 Win=65535 Len=0"
"39","0.350067050","192.168.126.132","142.250.75.67","TLSv1.3","93","Application Data"
"40","0.350566748","142.250.75.67","192.168.126.132","TCP","60","443  >  34260 [ACK] Seq=7282 Ack=2337 Win=64240 Len=0"
