"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.126.132","192.168.126.2","DNS","100","Standard query 0x32ec A clientservices.googleapis.com OPT"
"2","0.000180933","192.168.126.132","192.168.126.2","DNS","100","Standard query 0xb250 HTTPS clientservices.googleapis.com OPT"
"3","0.012841092","VMware_ed:23:0c","Broadcast","ARP","60","Who has 192.168.126.132? Tell 192.168.126.2"
"4","0.012855583","VMware_9e:c6:8d","VMware_ed:23:0c","ARP","42","192.168.126.132 is at 00:0c:29:9e:c6:8d"
"5","0.013488216","192.168.126.2","192.168.126.132","DNS","116","Standard query response 0x32ec A clientservices.googleapis.com A 142.250.75.67 OPT"
"6","0.013488337","192.168.126.2","192.168.126.132","DNS","160","Standard query response 0xb250 HTTPS clientservices.googleapis.com SOA ns1.google.com OPT"
"7","0.014019909","192.168.126.132","142.250.75.67","TCP","74","58864  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1045668473 TSecr=0 WS=128"
"8","0.028500308","142.250.75.67","192.168.126.132","TCP","60","443  >  58864 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"9","0.028531067","192.168.126.132","142.250.75.67","TCP","54","58864  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"10","0.030566555","192.168.126.132","142.250.75.67","TCP","54","58864  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"11","0.030865297","142.250.75.67","192.168.126.132","TCP","60","443  >  58864 [ACK] Seq=1 Ack=2 Win=64239 Len=0"
"12","0.031215744","192.168.126.132","142.250.75.67","TCP","74","58876  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1045668490 TSecr=0 WS=128"
"13","0.045290164","142.250.75.67","192.168.126.132","TCP","60","443  >  58864 [FIN, PSH, ACK] Seq=1 Ack=2 Win=64239 Len=0"
"14","0.045335148","192.168.126.132","142.250.75.67","TCP","54","58864  >  443 [ACK] Seq=2 Ack=2 Win=64240 Len=0"
"15","0.048030829","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"16","0.048059435","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"17","0.049542826","192.168.126.132","142.250.75.67","TLSv1.3","1825","Client Hello (SNI=clientservices.googleapis.com)"
"18","0.050077751","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"19","0.050077933","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=1 Ack=1772 Win=64240 Len=0"
"20","0.126197361","142.250.75.67","192.168.126.132","TLSv1.3","5702","Server Hello, Change Cipher Spec"
"21","0.126282015","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=1772 Ack=5649 Win=65535 Len=0"
"22","0.129347178","142.250.75.67","192.168.126.132","TLSv1.3","164","Application Data"
"23","0.129372700","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=1772 Ack=5759 Win=65535 Len=0"
"24","0.148573635","192.168.126.132","142.250.75.67","TLSv1.3","128","Change Cipher Spec, Application Data"
"25","0.149139012","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=5759 Ack=1846 Win=64240 Len=0"
"26","0.152855099","192.168.126.132","142.250.75.67","TLSv1.3","146","Application Data"
"27","0.153276749","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=5759 Ack=1938 Win=64240 Len=0"
"28","0.153667374","192.168.126.132","142.250.75.67","TLSv1.3","415","Application Data"
"29","0.153902456","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=5759 Ack=2299 Win=64240 Len=0"
"30","0.163129608","142.250.75.67","192.168.126.132","TLSv1.3","1042","Application Data, Application Data"
"31","0.163732812","192.168.126.132","142.250.75.67","TLSv1.3","85","Application Data"
"32","0.163896517","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=6747 Ack=2330 Win=64240 Len=0"
"33","0.173948128","142.250.75.67","192.168.126.132","TLSv1.3","85","Application Data"
"34","0.215338059","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=2330 Ack=6778 Win=65535 Len=0"
"35","0.258450046","142.250.75.67","192.168.126.132","TLSv1.3","487","Application Data"
"36","0.258482959","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=2330 Ack=7211 Win=65535 Len=0"
"37","0.264217103","142.250.75.67","192.168.126.132","TLSv1.3","124","Application Data, Application Data"
"38","0.264238025","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=2330 Ack=7281 Win=65535 Len=0"
"39","0.264600012","192.168.126.132","142.250.75.67","TLSv1.3","93","Application Data"
"40","0.264935419","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=7281 Ack=2369 Win=64240 Len=0"
"41","0.287363912","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [FIN, ACK] Seq=2369 Ack=7281 Win=65535 Len=0"
"42","0.287876226","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [ACK] Seq=7281 Ack=2370 Win=64239 Len=0"
"43","0.302196900","142.250.75.67","192.168.126.132","TCP","60","443  >  58876 [FIN, PSH, ACK] Seq=7281 Ack=2370 Win=64239 Len=0"
"44","0.302221232","192.168.126.132","142.250.75.67","TCP","54","58876  >  443 [ACK] Seq=2370 Ack=7282 Win=14764 Len=0"
